,timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
4182,2021-01-04 18:15,31176.10000000,31445.00000000,31001.00000000,31442.45000000,921.44943400,1609784999999,28746120.92184051,21589,536.28880000,16735054.15105271,0
4183,2021-01-04 18:30,31435.65000000,31465.44000000,31252.64000000,31319.50000000,680.74276000,1609785899999,21330912.05237799,16419,388.16719000,12164167.14585125,0
4184,2021-01-04 18:45,31319.51000000,31375.18000000,31062.93000000,31165.16000000,697.53878600,1609786799999,21755906.70968555,15294,332.66166900,10375925.70180661,0
4185,2021-01-04 19:00,31165.16000000,31345.29000000,31111.00000000,31129.60000000,599.93598600,1609787699999,18732497.59645453,13492,306.80673700,9580767.67214241,0
4186,2021-01-04 19:15,31129.61000000,31471.92000000,31104.99000000,31405.64000000,763.08692800,1609788599999,23878251.69610912,14859,381.56654900,11944419.65118511,0
4187,2021-01-04 19:30,31405.64000000,31855.75000000,31400.55000000,31675.39000000,1244.03636300,1609789499999,39408812.40252026,25805,711.41266300,22535550.09002392,0
4188,2021-01-04 19:45,31672.96000000,31724.30000000,31571.42000000,31665.51000000,781.31294400,1609790399999,24739186.69145410,17606,353.60275300,11196650.27557152,0
4189,2021-01-04 20:00,31665.52000000,31830.95000000,31461.72000000,31544.41000000,1013.56893100,1609791299999,32042853.22687215,20221,479.33188200,15156382.18112777,0
4190,2021-01-04 20:15,31544.41000000,31667.91000000,31344.23000000,31384.22000000,735.32134200,1609792199999,23151041.41174603,16107,330.31390000,10399678.44050824,0
4191,2021-01-04 20:30,31384.21000000,31500.00000000,31275.01000000,31368.55000000,531.38246900,1609793099999,16685800.11640973,13642,254.16219800,7983419.45928717,0
4192,2021-01-04 20:45,31367.82000000,31470.05000000,31210.00000000,31244.97000000,570.69034500,1609793999999,17891293.33167658,14941,265.36479400,8319392.66975413,0
4193,2021-01-04 21:00,31244.97000000,31579.00000000,31240.01000000,31566.50000000,600.52325800,1609794899999,18853748.45164971,15443,325.28417800,10216048.16555260,0
4194,2021-01-04 21:15,31566.77000000,31571.28000000,30993.48000000,31091.62000000,847.90975400,1609795799999,26521268.65380228,21941,364.52028900,11404451.25263714,0
4195,2021-01-04 21:30,31091.61000000,31196.08000000,30865.85000000,30905.03000000,1074.38707300,1609796699999,33296954.01142490,21579,487.71777700,15115768.52057520,0
4196,2021-01-04 21:45,30905.03000000,31115.00000000,30856.08000000,31014.27000000,679.63604200,1609797599999,21055538.49124150,15461,370.49948700,11479071.31719328,0
4197,2021-01-04 22:00,31014.27000000,31233.76000000,30950.00000000,31198.39000000,369.02629400,1609798499999,11471002.18906367,12819,189.10495900,5878427.50923008,0
4198,2021-01-04 22:15,31198.51000000,31336.29000000,31100.00000000,31296.42000000,427.28356800,1609799399999,13355758.44187986,14160,237.42279900,7422731.13177865,0
4199,2021-01-04 22:30,31296.42000000,31469.38000000,31220.17000000,31458.14000000,399.93418400,1609800299999,12526168.06549730,14424,252.30724700,7902130.54664758,0
4200,2021-01-04 22:45,31458.13000000,31474.78000000,31309.92000000,31332.05000000,450.24009200,1609801199999,14127764.26383498,13520,228.12204700,7159200.43887963,0
4201,2021-01-04 23:00,31332.05000000,31394.31000000,31200.00000000,31282.14000000,446.88867500,1609802099999,13973149.95937463,12711,236.64020900,7399234.69828593,0
4202,2021-01-04 23:15,31281.47000000,31840.00000000,31150.00000000,31745.46000000,1221.08242000,1609802999999,38444248.61613756,23863,711.56682400,22409437.82092265,0
4203,2021-01-04 23:30,31745.46000000,31948.59000000,31575.70000000,31884.56000000,1379.29945000,1609803899999,43853408.74393323,27082,733.94634200,23341490.18747689,0
4204,2021-01-04 23:45,31884.55000000,32031.01000000,31791.59000000,31988.71000000,1146.37818300,1609804799999,36623185.78115797,22385,661.98741500,21153323.44617239,0
4205,2021-01-05 00:00,31989.75000000,32499.99000000,31989.74000000,32493.72000000,2563.98251100,1609805699999,82684341.91703216,40445,1835.58289800,59197944.93707364,0
4206,2021-01-05 00:15,32493.73000000,32500.00000000,32200.00000000,32323.65000000,1438.44219200,1609806599999,46533836.11599904,24422,696.50383600,22537351.11928150,0
4207,2021-01-05 00:30,32326.17000000,32853.38000000,32278.87000000,32805.65000000,2103.39720300,1609807499999,68653210.34543065,33290,1257.26603200,41019216.25306743,0
4208,2021-01-05 00:45,32805.64000000,32831.83000000,32297.61000000,32430.49000000,1601.82150400,1609808399999,52136528.52929026,29424,780.12922400,25390336.79625975,0
4209,2021-01-05 01:00,32430.69000000,32627.71000000,32288.74000000,32447.23000000,1111.81151800,1609809299999,36095857.07473252,23720,591.20832400,19195405.16989930,0
4210,2021-01-05 01:15,32447.23000000,32542.67000000,32224.25000000,32535.49000000,1021.51758500,1609810199999,33094700.20173304,21848,524.21032000,16986884.06888887,0
4211,2021-01-05 01:30,32534.83000000,32700.00000000,32483.54000000,32527.77000000,1151.76858700,1609811099999,37555558.33443514,19797,653.59027000,21314974.43487191,0
4212,2021-01-05 01:45,32527.77000000,32796.00000000,32432.52000000,32786.06000000,961.86296000,1609811999999,31372186.75361764,17706,526.48452900,17177751.54475338,0
